# name|cloneof|title|category|manufacturer|year|titleImg|snapImg
sprtmtch|drgpunch|Sports Match|Puzzle / Match|Dynax (Fabtek license)|1989|drgpunch|drgpunch
spy||S.P.Y. - Special Project Y (World ver. N)|Fighter / 2.5D|Konami|1989|spy|spy
spyhunt||Spy Hunter|Shooter / Driving Vertical|Bally Midway|1983|spyhunt|spyhunt
spyhunt2||Spy Hunter 2 (rev 2)|Shooter / Driving (chase view)|Bally Midway|1987|spyhunt2|spyhunt2
spyu|spy|S.P.Y. - Special Project Y (US ver. M)|Fighter / 2.5D|Konami|1989|spy|spy
sqbert||Faster, Harder, More Challenging Q*bert (prototype)|Platform / Run Jump|Mylstar|1983|sqbert|sqbert
sqix||Super Qix (World, Rev 2)|Puzzle / Outline|Kaneko / Taito|1987|sqix|sqix
squash||Squash (Ver. 1.0)|Unplayable|Gaelco|1992|squash|squash
sraider||Space Raider|Shooter / Gallery|Universal|1982||
srally2||Sega Rally 2|Unplayable|Sega|1998||
srallyc||Sega Rally Championship - TWIN (Revision C)|Unplayable|Sega|1995||
sranger||Super Ranger (v2.0)|Platform / Shooter Scrolling|SunA|1988||
srangerb|sranger|Super Ranger (bootleg)|Platform / Shooter Scrolling|bootleg|1988||
srangerw|sranger|Super Ranger (WDK)|Platform / Shooter Scrolling|SunA (WDK license)|1988||
srdarwin||Super Real Darwin (World)|Shooter / Flying Vertical|Data East Corporation|1987|srdarwin|srdarwin
srdmissn||S.R.D. Mission|Shooter / Flying Vertical|Taito Corporation|1986|srdmissn|srdmissn
srmp2||Super Real Mahjong Part 2 (Japan)|Tabletop / Mahjong|Seta|1987|srmp2|srmp2
srmp3||Super Real Mahjong Part 3 (Japan)|Tabletop / Mahjong|Seta|1988|srmp3|srmp3
srmp4||Super Real Mahjong PIV (Japan)|Tabletop / Mahjong|Seta|1993|srmp4|srmp4
srmp4o|srmp4|Super Real Mahjong PIV (Japan, older set)|Tabletop / Mahjong|Seta|1993|srmp4|srmp4
srmp5||Super Real Mahjong P5|Unplayable|Seta|1994|srmp5|srmp5
srmp6||Super Real Mahjong P6 (Japan)|Tabletop / Mahjong|Seta|1995||
srmp7||Super Real Mahjong P7 (Japan)|Tabletop / Mahjong|Seta|1997|srmp7|srmp7
srumbler||The Speed Rumbler (set 1)|Shooter / Driving Vertical|Capcom|1986|srumbler|srumbler
ssanchan|spatter|Sanrin San Chan (Japan)|Maze / Driving|Sega|1984|spatter|spatter
sscandal|myhero|Seishun Scandal (315-5132, Japan)|Fighter / 2D|Coreland / Sega|1985|myhero|myhero
sscope||Silent Scope (ver xxD, Ver 1.33)|Unplayable|Konami|2000||sscope
sscope2||Silent Scope 2|Unplayable|Konami|2000||sscope2
sscopea|sscope|Silent Scope (ver xxA, Ver 1.00)||Konami|2000||sscope
ssf2||Super Street Fighter II: The New Challengers (World 930911)|Fighter / Versus|Capcom|1993|ssf2|ssf2
ssf2a|ssf2|Super Street Fighter II: The New Challengers (Asia 931005)|Fighter / Versus|Capcom|1993|ssf2|ssf2
ssf2ar1|ssf2|Super Street Fighter II: The New Challengers (Asia 930914)|Fighter / Versus|Capcom|1993|ssf2|ssf2
ssf2j|ssf2|Super Street Fighter II: The New Challengers (Japan 931005)|Fighter / Versus|Capcom|1993|ssf2|ssf2
ssf2jr1|ssf2|Super Street Fighter II: The New Challengers (Japan 930911)|Fighter / Versus|Capcom|1993|ssf2|ssf2
ssf2jr2|ssf2|Super Street Fighter II: The New Challengers (Japan 930910)|Fighter / Versus|Capcom|1993|ssf2|ssf2
ssf2t||Super Street Fighter II Turbo (World 940223)|Fighter / Versus|Capcom|1994||
ssf2ta|ssf2t|Super Street Fighter II Turbo (Asia 940223)|Fighter / Versus|Capcom|1994||
ssf2tb|ssf2|Super Street Fighter II: The Tournament Battle (World 931119)|Fighter / Versus|Capcom|1993|ssf2|ssf2
ssf2tbj|ssf2|Super Street Fighter II: The Tournament Battle (Japan 930911)|Fighter / Versus|Capcom|1993|ssf2|ssf2
ssf2tbr1|ssf2|Super Street Fighter II: The Tournament Battle (World 930911)||Capcom|1993|ssf2|ssf2
ssf2tu|ssf2t|Super Street Fighter II Turbo (USA 940323)|Fighter / Versus|Capcom|1994||
ssf2tur1|ssf2t|Super Street Fighter II Turbo (USA 940223)|Fighter / Versus|Capcom|1994||
ssf2u|ssf2|Super Street Fighter II: The New Challengers (USA 930911)|Fighter / Versus|Capcom|1993|ssf2|ssf2
ssf2xj|ssf2t|Super Street Fighter II X: Grand Master Challenge (Japan 940223)|Fighter / Versus|Capcom|1994||
ssfindo||See See Find Out|Misc.|Icarus|1999||
sshangha||Super Shanghai Dragon's Eye (Japan)|Puzzle / Match|Hot-B|1992|sshangha|sshangha
sshooter||Sharpshooter (Rev 1.9)|Shooter / Gun|P&P Marketing|1998|sshooter|sshooter
ssi||Super Space Invaders '91 (World, Rev 1)|Shooter / Gallery|Taito Corporation Japan|1990|ssi|ssi
ssideki||Super Sidekicks / Tokuten Ou|Sports / Soccer|SNK|1992|ssideki|ssideki
ssideki2||Super Sidekicks 2 - The World Championship / Tokuten Ou 2 - real fight football (NGM-061)(NGH-061)|Sports / Soccer|SNK|1994|ssideki2|ssideki2
ssideki3||Super Sidekicks 3 - The Next Glory / Tokuten Ou 3 - eikou e no michi|Sports / Soccer|SNK|1995|ssideki3|ssideki3
ssideki4||The Ultimate 11 - The SNK Football Championship / Tokuten Ou - Honoo no Libero|Sports / Soccer|SNK|1996|ssideki4|ssideki4
ssingles||Swinging Singles|Unplayable|Entertainment Enterprises, Ltd.|1983|ssingles|ssingles
sslam||Super Slam (set 1)|Sports / Tennis|Playmark|1993|sslam|sslam
sslama|sslam|Super Slam (set 2)|Sports / Tennis|Playmark|1993|sslam|sslam
ssmissin||S.S. Mission|Shooter / Flying Vertical|Comad|1992|ssmissin|ssmissin
ssoldier||Superior Soldiers (US)|Fighter / Versus|Irem America|1993|ssoldier|ssoldier
ssozumo||Syusse Oozumou (Japan)|Sports / Sumo|Technos Japan|1984|ssozumo|ssozumo
sspacaho||Space Attack / Head On|Multiplay|Sega|1979|sspacaho|sspacaho
sspaceat||Space Attack (upright set 1)|Shooter / Gallery|Sega|1979|sspaceat|sspaceat
sspeedr||Super Speed Race|Driving / Race|Midway|1979|sspeedr|sspeedr
sspiritj|sspirits|Scramble Spirits (Japan, Floppy DS3-5000-02-REV-A Based)||Sega|1988|sspirits|sspirits
sspirits||Scramble Spirits (World, Floppy Based)|Shooter / Flying Vertical|Sega|1988|sspirits|sspirits
sspirtfc|sspirits|Scramble Spirits (World, Floppy Based, FD1094 317-0058-02c)|Shooter / Flying Vertical|Sega|1988|sspirits|sspirits
ssprint||Super Sprint (rev 4)|Driving / Race Track|Atari Games|1986|ssprint|ssprint
ssprint1|ssprint|Super Sprint (rev 1)|Driving / Race Track|Atari Games|1986|ssprint|ssprint
ssprint3|ssprint|Super Sprint (rev 3)|Driving / Race Track|Atari Games|1986|ssprint|ssprint
ssprintf|ssprint|Super Sprint (French)|Driving / Race Track|Atari Games|1986|ssprint|ssprint
ssprintg|ssprint|Super Sprint (German, rev 2)|Driving / Race Track|Atari Games|1986|ssprint|ssprint
ssprints|ssprint|Super Sprint (Spanish)|Driving / Race Track|Atari Games|1986|ssprint|ssprint
ssriders||Sunset Riders (4 Players ver EAC)|Platform / Shooter Scrolling|Konami|1991|ssriders|ssriders
ssrj||Super Speed Race Junior (Japan)|Driving / Race|Taito Corporation|1985|ssrj|ssrj
sss||Steep Slope Sliders (JUET 981110 V1.000)|Sports / Skiing|Capcom / Cave / Victor|1998|sss|sss
sstarbtl|astrof|Super Star Battle||bootleg|1979|astrof|astrof
sstingry||Super Stingray (Japan)|Shooter / Driving Vertical|Alpha Denshi Co.|1986|sstingry|sstingry
sstrangr||Space Stranger|Shooter / Gallery|Yachiyo Electronics, Ltd.|1978|sstrangr|sstrangr
sstrike||Super Strike Bowling|Sports / Bowling|Strata/Incredible Technologies|1990|sstrike|sstrike
sstriker||Sorcer Striker (set 1)|Shooter / Flying Vertical|Raizing|1993||
stactics||Space Tactics|Shooter / Gallery|Sega|1981|stactics|stactics
stadhero||Stadium Hero (Japan)|Sports / Baseball|Data East Corporation|1988|stadhero|stadhero
stadhr96||Stadium Hero 96 (World, EAJ)|Sports / Baseball|Data East Corporation|1996|stadhr96|stadhr96
stagger1||Stagger I (Japan)|Shooter / Flying Vertical|Afega|1998|stagger1|stagger1
stakwin||Stakes Winner / Stakes Winner - GI kinzen seiha e no michi|Sports / Horse Racing|Saurus|1995|stakwin|stakwin
stakwin2||Stakes Winner 2|Sports / Horse Racing|Saurus|1996|stakwin2|stakwin2
starblad||Starblade (Japan)|Shooter / Command|Namco|1991|starblad|starblad
starcas||Star Castle (version 3)|Shooter / Field|Cinematronics|1980|starcas|starcas
starcas1|starcas|Star Castle (older)|Shooter / Field|Cinematronics|1980|starcas|starcas
starcase|starcas|Star Castle (Mottoeis)|Shooter / Field|Cinematronics (Mottoeis license)|1980|starcas|starcas
starcasp|starcas|Star Castle (prototype)|Shooter / Field|Cinematronics|1980|starcas|starcas
starcrus||Star Cruiser|Shooter / Field|RamTek|1977|starcrus|starcrus
starfght|galaxian|Star Fighter||bootleg (Jeutel)|1979|galaxian|galaxian
starfigh||Star Fighter (v1)|Shooter / Gallery|SunA|1990|starfigh|starfigh
starfir2||Star Fire 2|Unplayable|Exidy|1979||
starfire||Star Fire (set 1)|Shooter / Flying 1st Person|Exidy|1979|starfire|starfire
starforc||Star Force|Shooter / Flying Vertical|Tehkan|1984|starforc|starforc
stargate||Stargate|Shooter / Flying|Williams / Vid Kidz|1981|stargate|stargate
starglad||Star Gladiator Episode I: Final Crusade (USA 960627)|Fighter / Versus|Capcom|1996|starglad|starglad
stargld2|plsmaswd|Star Gladiator 2: Nightmare of Bilstein (Japan 980316)|Fighter / Versus|Capcom|1998|plsmaswd|plsmaswd
stargrds||Star Guards|Shooter / Field|Bally Midway|1987|stargrds|stargrds
starhawk||Star Hawk|Shooter / Flying 1st Person|Cinematronics|1979|starhawk|starhawk
starjack||Star Jacker (Sega)|Shooter / Flying Vertical|Sega|1983|starjack|starjack
starlstr||Vs. Star Luster|Shooter / Flying 1st Person|Namco|1985|starlstr|starlstr
starshp1||Starship 1|Shooter / Command|Atari|1977|starshp1|starshp1
starshpp|starshp1|Starship 1 (prototype?)|Shooter / Command|Atari|1977|starshp1|starshp1
starspnr||Starspinner (Dutch/Nederlands)||ACE|1969||
starswep||Star Sweep (Japan, STP1/VER.A)|Puzzle|Axela/Namco|1997|starswep|starswep
startrek||Star Trek|Shooter / Flying 1st Person|Sega|1982|startrek|startrek
startrgn||Star Trigon (Japan, STT1 Ver.A)||Namco|2002||
startrkd|defender|Star Trek (Defender bootleg)|Shooter / Flying|bootleg|1981|defender|defender
starw|galxwars|Star Wars|Shooter / Gallery|bootleg|1979|galxwars|galxwars
starwars||Star Wars (rev 2)|Shooter / Flying 1st Person|Atari|1983|starwars|starwars
statriv2||Triv Two|Quiz / English|Status Games|1984|statriv2|statriv2
statriv4||Triv Four|Quiz / English|Status Games|1985|statriv4|statriv4
stcc||Sega Touring Car Championship|Unplayable|Sega|1996||
stdragon||Saint Dragon (set 1)|Shooter / Flying Horizontal|Jaleco|1989|stdragon|stdragon
steeltal||Steel Talons (rev 2)|Shooter / Flying (chase view)|Atari Games|1991|steeltal|steeltal
stellcas|starcas|Stellar Castle (Elettronolo)|Shooter / Field|bootleg (Elettronolo)|1980|starcas|starcas
stepstag||Stepping Stage Special||Jaleco|1999||
stfight|empcity|Street Fight (Germany)|Shooter / 1st Person|Seibu Kaihatsu (Tuning license)|1986|empcity|empcity
stfighta|empcity|Street Fight (bootleg?)|Shooter / 1st Person|Seibu Kaihatsu|1986|empcity|empcity
stg||Strike Gunner S.T.G|Shooter / Flying Vertical|Athena / Tecmo|1991|stg|stg
stinger||Stinger|Shooter / Flying Horizontal|Seibu Denshi|1983|stinger|stinger
stinger2|stinger|Stinger (prototype?)|Shooter / Flying Horizontal|Seibu Denshi|1983|stinger|stinger
stkclmns||Stack Columns (World)|Puzzle / Drop|Sega|1994|stkclmns|stkclmns
stlforce||Steel Force|Maze / Shooter Large|Electronic Devices Italy / Ecogames S.L. Spain|1994|stlforce|stlforce
stmblade||Storm Blade (US)|Shooter / Flying Vertical|Visco|1996|stmblade|stmblade
stocker||Stocker (3/19/85)|Driving|Bally/Sente|1984|stocker|stocker
stoffy||Super Toffy|Maze / Digging|Midas (Unico license)|1994|stoffy|stoffy
stompin||Stompin' (4/4/86)|Misc.|Bally/Sente|1986|stompin|stompin
stoneage|cninja|Stoneage (bootleg of Caveman Ninja)|Platform / Shooter Scrolling|bootleg|1991|cninja|cninja
stonebal||Stone Ball (4 Players)|Sports|Art & Magic|1994|stonebal|stonebal
storming|lsasquad|Storming Party / Riku Kai Kuu Saizensen|Shooter / Misc. Vertical|bootleg|1986|lsasquad|lsasquad
strahl||Koutetsu Yousai Strahl (Japan set 1)|Shooter / Flying Horizontal|UPL|1992|strahl|strahl
strahla|strahl|Koutetsu Yousai Strahl (Japan set 2)|Shooter / Flying Horizontal|UPL|1992|strahl|strahl
stratab||Strata Bowling (V3)|Sports / Bowling|Strata/Incredible Technologies|1990|stratab|stratab
stratab1|stratab|Strata Bowling (V1)|Sports / Bowling|Strata/Incredible Technologies|1990|stratab|stratab
stratgys|stratgyx|Strategy X (Stern Electronics)|Shooter / Driving Vertical|Konami (Stern Electronics license)|1981|stratgyx|stratgyx
stratgyx||Strategy X|Shooter / Driving Vertical|Konami|1981|stratgyx|stratgyx
stratof||Raiga - Strato Fighter (US)|Shooter / Flying Horizontal|Tecmo|1991|stratof|stratof
stratvox|speakres|Stratovox|Shooter / Gallery|Sun Electronics (Taito license)|1980|speakres|speakres
streakng||Streaking (set 1)|Maze|Shoei|1980|streakng|streakng
streetsm||Street Smart (US version 2)|Fighter / Versus Co-op|SNK|1989|streetsm|streetsm
strfbomb|scramble|Strafe Bomb|Shooter / Flying Horizontal|bootleg? (Omni)|1981|scramble|scramble
strhoop||Street Hoop / Street Slam / Dunk Dream (DEM-004) (DEH-004)|Sports / Basketball|Data East Corporation|1994|strhoop|strhoop
strider||Strider (USA, B-Board 89624B-2)|Platform / Fighter Scrolling|Capcom|1989|strider|strider
strider2||Strider 2 (USA 991213)|Platform / Fighter Scrolling|Capcom|1999|strider2|strider2
striderj|strider|Strider Hiryu (Japan)|Platform / Fighter Scrolling|Capcom|1989|strider|strider
striv||Super Triv||Hara Industries|1985||
strkfgtr||Strike Fighter (Japan)|Shooter / Flying 1st Person|Sega|1991||
strkforc||Strike Force (rev 1 02/25/91)|Shooter / Flying|Midway|1991|strkforc|strkforc
strkzone||Strike Zone Baseball|Sports / Baseball|Leland Corp.|1988|strkzone|strkzone
strnskil||Strength & Skill|Sports|Sun Electronics|1984|strnskil|strnskil
strtdriv||Street Drivin' (prototype)|Driving / 1st Person|Atari Games|1993|strtdriv|strtdriv
strtheat||Street Heat|Shooter / Driving (chase view)|Epos Corporation|1985|strtheat|strtheat
strvmstr||Super Trivia Master|Quiz / English|Enerdyne Technologies Inc.|1986|strvmstr|strvmstr
stunrun||S.T.U.N. Runner (rev 6)|Shooter / Driving (chase view)|Atari Games|1989|stunrun|stunrun
stunrun0|stunrun|S.T.U.N. Runner (rev 0)|Shooter / Driving (chase view)|Atari Games|1989|stunrun|stunrun
stunrun2|stunrun|S.T.U.N. Runner (rev 2)|Shooter / Driving (chase view)|Atari Games|1989|stunrun|stunrun
stunrun3|stunrun|S.T.U.N. Runner (rev 3)|Shooter / Driving (chase view)|Atari Games|1989|stunrun|stunrun
stunrun4|stunrun|S.T.U.N. Runner (rev 4)|Shooter / Driving (chase view)|Atari Games|1989|stunrun|stunrun
stunrun5|stunrun|S.T.U.N. Runner (rev 5)|Shooter / Driving (chase view)|Atari Games|1989|stunrun|stunrun
stunrune|stunrun|S.T.U.N. Runner (rev 5, Europe)|Shooter / Driving (chase view)|Atari Games|1989|stunrun|stunrun
stunrunj|stunrun|S.T.U.N. Runner (rev 7, Japan)|Shooter / Driving (chase view)|Atari Games|1989|stunrun|stunrun
stunrunp|stunrun|S.T.U.N. Runner (upright prototype)|Shooter / Driving (chase view)|Atari Games|1989|stunrun|stunrun
stvbios||ST-V Bios|BIOS|Sega|1996||
subhunt|depthch|Sub Hunter|Shooter / Gallery|Gremlin (Taito license)|1977|depthch|depthch
subroc3d||Subroc-3D|Shooter / Command|Sega|1982|subroc3d|subroc3d
subs||Subs|Shooter / Field|Atari|1977|subs|subs
sucasino||Super Casino|Casino|Data Amusement|1984|sucasino|sucasino
suchipi||Idol Janshi Suchie-Pai Special (Japan)|Tabletop / Mahjong|Jaleco|1993|suchipi|suchipi
suikoenb||Suikoenbu / Outlaws of the Lost Dynasty (JUETL 950314 V2.001)|Unplayable|Data East|1995|suikoenb|suikoenb
sundance||Sundance|Misc.|Cinematronics|1979|sundance|sundance
supbtime||Super Burger Time (World, set 1)|Platform / Run Jump|Data East Corporation|1990|supbtime|supbtime
supdrapo||Super Draw Poker (set 1)|Casino|Valadon Automation (Stern Electronics license)|1983|supdrapo|supdrapo
superbik||Superbike|Shooter / Driving Horizontal|Century Electronics|1983|superbik|superbik
superbon||Agent Super Bond (Super Cobra conversion)|Maze / Shooter Small|Signatron USA|1985|superbon|superbon
superbug||Super Bug|Driving|Atari (Kee Games)|1977|superbug|superbug
superchs||Super Chase - Criminal Termination (US)|Driving / 1st Person|Taito America Corporation|1992|superchs|superchs
superg|galaxian|Super Galaxians (galaxiana hack)|Shooter / Gallery|hack|1979|galaxian|galaxian
supergx|galaxian|Super GX|Unplayable|Nichibutsu|1980|galaxian|galaxian
superinv|invaders|Super Invaders|Shooter / Gallery|bootleg|1969|invaders|invaders
superman||Superman (World)|Fighter / 2D|Taito Corporation|1988|superman|superman
superpac||Super Pac-Man|Maze|Namco|1982|superpac|superpac
superspy||The Super Spy (NGM-011)(NGH-011)|Fighter / Misc.|SNK|1990|superspy|superspy
supertnk||Super Tank|Shooter / Field|Video Games GmbH|1981|supertnk|supertnk
supertr2||Super Triv II|Quiz / English|Status Games|1986|supertr2|supertr2
supertr3||Super Triv III|Quiz / English|Status Games|1988|supertr3|supertr3
superx||Super-X (NTC)|Shooter / Flying Vertical|NTC|1994|superx|superx
superxm|superx|Super-X (Mitchell)|Shooter / Flying Vertical|NTC (Mitchell license)|1994|superx|superx
suplup||Super Lup Lup Puzzle / Zhuan Zhuan Puzzle (version 4.0 / 990518)|Puzzle / Toss|Omega System|1999||
supmodel||Super Model||Comad & New Japan System|1994||
supnudg2||Super Nudger II (Version 5.21)||Coinmaster|1989||
suprglob||Super Glob|Platform / Run Jump|Epos Corporation|1983|suprglob|suprglob
suprgolf||Super Crowns Golf (Japan)|Sports / Golf|Nasco|1989||suprgolf
suprleag||Super League (FD1094 317-0045)|Unplayable|Sega|1987|suprleag|suprleag
suprloco||Super Locomotive|Misc.|Sega|1982|suprloco|suprloco
suprmatk|missile|Super Missile Attack (for rev 1)|Shooter / Command|Atari / General Computer Corporation|1981|missile|missile
suprmous||Super Mouse|Platform / Run Jump|Taito Corporation|1982||
suprmrio||Vs. Super Mario Bros. (set SM4-4 E)|Platform / Run Jump Scrolling|Nintendo|1986|suprmrio|suprmrio
suprridr||Super Rider|Platform / Run Jump Scrolling|Taito Corporation (Venture Line license)|1983|suprridr|suprridr
suprslam||Super Slams|Sports / Basketball|Banpresto / Toei Animation|1995|suprslam|suprslam
suprtrio||Super Trio|Platform / Run Jump Scrolling|Gameace|1994||
supxevs||Vs. Super Xevious|Shooter / Flying Vertical|Namco|1986|supxevs|supxevs
suratk||Surprise Attack (World ver. K)|Platform / Shooter Scrolling|Konami|1990||
suratka|suratk|Surprise Attack (Asia ver. L)||Konami|1990||
suratkj|suratk|Surprise Attack (Japan ver. M)|Platform / Shooter Scrolling|Konami|1990||
surfplnt||Surf Planet (Version 4.1)|Sports / Skiing|Gaelco|1997|surfplnt|surfplnt
survarts||Survival Arts (World)|Fighter / Versus|Sammy|1993|survarts|survarts
survival||Survival|Shooter / Field|Rock-Ola|1982|survival|survival
susume||Susume! Taisen Puzzle-Dama (GV027 Japan 1.20)|Puzzle / Drop|Konami|1996|susume|susume
sutapper|tapper|Tapper (Suntory)|Misc.|Bally Midway|1983|tapper|tapper
suzuk8h2||Suzuka 8 Hours 2 (World)|Driving / Race (chase view)|Namco|1993|suzuk8h2|suzuk8h2
suzuka8h||Suzuka 8 Hours (World)|Driving / Race (chase view)|Namco|1992|suzuka8h|suzuka8h
suzume||Watashiha Suzumechan (Japan)|Tabletop / Mahjong|Dyna Electronics|1986|suzume|suzume
svc||SNK vs. Capcom - SVC Chaos (NGM-2690)(NGH-2690)||SNK Playmore|2003||
svcboot|svc|SNK vs. Capcom - SVC Chaos (bootleg)||bootleg|2003||
svcpcb||SNK vs. Capcom - SVC Chaos (JAMMA PCB, set 1)||SNK Playmore|2003||
svcpcba|svcpcb|SNK vs. Capcom - SVC Chaos (JAMMA PCB, set 2)||SNK Playmore|2003||
svcplus|svc|SNK vs. Capcom - SVC Chaos Plus (bootleg set 1)||bootleg|2003||
svcplusa|svc|SNK vs. Capcom - SVC Chaos Plus (bootleg set 2)||bootleg|2003||
svcsplus|svc|SNK vs. Capcom - SVC Chaos Super Plus (bootleg)||bootleg|2003||
svf||Super Visual Football: European Sega Cup|Sports / Soccer|Sega|1994|svf|svf
svolley||Super Volleyball (Japan)|Sports / Volleyball|V-System Co.|1989|svolley|svolley
svolleyk|svolley|Super Volleyball (Korea)|Sports / Volleyball|V-System Co.|1989|svolley|svolley
svolleyu|svolley|Super Volleyball (US)|Sports / Volleyball|V-System Co. (Data East license)|1989|svolley|svolley
svolly91|pspikes|Super Volley '91 (Japan)|Sports / Volleyball|Video System Co.|1991|pspikes|pspikes
svs|svf|Super Visual Soccer: Sega Cup (US)|Sports / Soccer|Sega|1994|svf|svf
swa||Star Wars Arcade|Unplayable|Sega|1993|swa|swa
swarm|galaxian|Swarm (bootleg?)|Shooter / Gallery|bootleg? (Subelectro)|1979|galaxian|galaxian
swat||SWAT (315-5048)|Shooter / Field|Coreland / Sega|1984|swat|swat
swcourt||Super World Court (World)|Sports / Tennis|Namco|1992|swcourt|swcourt
swcourtj|swcourt|Super World Court (Japan)||Namco|1992|swcourt|swcourt
swimmer||Swimmer (set 1)|Sports / Swimming|Tehkan|1982|swimmer|swimmer
swimmera|swimmer|Swimmer (set 2)|Sports / Swimming|Tehkan|1982|swimmer|swimmer
swimmerb|swimmer|Swimmer (set 3)|Sports / Swimming|Tehkan|1982|swimmer|swimmer
sws||Super World Stadium (Japan)|Sports / Baseball|Namco|1992|sws|sws
sws92||Super World Stadium '92 (Japan)|Sports / Baseball|Namco|1992|sws92|sws92
sws92g|sws92|Super World Stadium '92 Gekitouban (Japan)|Sports / Baseball|Namco|1992|sws92|sws92
sws93||Super World Stadium '93 (Japan)|Sports / Baseball|Namco|1993|sws93|sws93
sws95||Super World Stadium '95 (Japan)|Sports / Baseball|Namco|1995|sws95|sws95
sws96||Super World Stadium '96 (Japan)|Sports / Baseball|Namco|1996|sws96|sws96
sws97||Super World Stadium '97 (Japan)|Sports / Baseball|Namco|1997|sws97|sws97
sws99||Super World Stadium '99 (Japan, SS91/VER.A3)|Sports / Baseball|Namco|1999|sws99|sws99
swtrilgy||Star Wars Trilogy (Revision A)|Unplayable|Sega / LucasArts|1998||
sxevious|xevious|Super Xevious|Shooter / Flying Vertical|Namco|1984|xevious|xevious
sxyreac2||Pachinko Sexy Reaction 2 (Japan)||Sammy|1999||
sxyreact||Pachinko Sexy Reaction (Japan)|Pinball / Pachinko|Sammy|1998|sxyreact|sxyreact
syvalion||Syvalion (Japan)|Shooter / Flying Horizontal|Taito Corporation|1988|syvalion|syvalion
szaxxon||Super Zaxxon (315-5013)|Shooter / Flying Diagonal|Sega|1982|szaxxon|szaxxon
tacscan||Tac/Scan|Shooter / Flying Vertical|Sega|1982|tacscan|tacscan
tactcian||Tactician (set 1)|Shooter / Gallery|Konami (Sega license)|1982|tactcian|tactcian
tagteam|bigprowr|Tag Team Wrestling|Wrestling|Technos Japan (Data East license)|1983|bigprowr|bigprowr
tail2nos||Tail to Nose - Great Championship|Driving / Race|V-System Co.|1989|tail2nos|tail2nos
tailg||Tailgunner|Shooter / Flying 1st Person|Cinematronics|1979|tailg|tailg
taitofx1||Taito FX1|BIOS|Taito|1995||
taitogn||Taito GNET|BIOS|Taito|1997||
